uid,time,region,latitude,longitude
1,2,83,37.77323314,-122.40710390000001
1,6,81,37.77349784,-122.457578
1,13,83,37.77323314,-122.40710390000001
1,17,83,37.77323314,-122.40710390000001
1,23,81,37.77349784,-122.457578
2,6,83,37.77323314,-122.40710390000001
2,9,83,37.77323314,-122.40710390000001
2,10,83,37.77323314,-122.40710390000001
2,14,81,37.77349784,-122.457578
2,16,83,37.77323314,-122.40710390000001
2,22,81,37.77349784,-122.457578
3,2,83,37.77323314,-122.40710390000001
3,14,83,37.77323314,-122.40710390000001
3,16,83,37.77323314,-122.40710390000001
3,23,83,37.77323314,-122.40710390000001
4,3,83,37.77323314,-122.40710390000001
4,10,83,37.77323314,-122.40710390000001
4,18,83,37.77323314,-122.40710390000001
4,22,83,37.77323314,-122.40710390000001
4,24,83,37.77323314,-122.40710390000001
5,1,83,37.77323314,-122.40710390000001
5,2,83,37.77323314,-122.40710390000001
5,14,83,37.77323314,-122.40710390000001
5,15,81,37.77349784,-122.457578
5,23,83,37.77323314,-122.40710390000001
6,5,81,37.77349784,-122.457578
6,10,83,37.77323314,-122.40710390000001
6,16,83,37.77323314,-122.40710390000001
7,2,83,37.77323314,-122.40710390000001
7,10,83,37.77323314,-122.40710390000001
7,11,83,37.77323314,-122.40710390000001
7,19,83,37.77323314,-122.40710390000001
8,3,81,37.77349784,-122.457578
8,8,83,37.77323314,-122.40710390000001
8,9,83,37.77323314,-122.40710390000001
8,11,81,37.77349784,-122.457578
8,13,83,37.77323314,-122.40710390000001
8,18,83,37.77323314,-122.40710390000001
8,20,83,37.77323314,-122.40710390000001
8,22,83,37.77323314,-122.40710390000001
8,23,83,37.77323314,-122.40710390000001
9,6,83,37.77323314,-122.40710390000001
9,24,50,37.38382197,-122.0798132
10,7,29,37.64192974,-122.4609119
10,9,30,37.64316465,-122.4087047
10,13,29,37.64192974,-122.4609119
10,17,81,37.77349784,-122.457578
10,24,83,37.77323314,-122.40710390000001
